Book_page,Year,Site,Nest_ID,Species,Observer,Date_found,Jdate_found,Latitude,Longitude,Plot_ID,Plot_limit,Stake,estHatch,estHatch_julian,how_found,ad1_original_band,ad2_original_band,ad1_UL,ad1_LL,ad1_UR,ad1_LR,ad1_eng_flag,ad2_UL,ad2_LL,ad2_UR,ad2_LR,ad2_eng_flag,BandedBirds,ad1_band,ad2_band,Clutch_max,Clutch_found,floatDate,floatAge,lastInfoDate,lastInfo_jDate,fateDate,fateDate_julian,initDate,initDate_julian,incDate,hatchDate,hatchDate_julian,ageMethod,stageFnd,fate,fail_cause,adBlood,NumEggHuman,NumEggColl,NumEggLost,NumEggwithEmbryo,NumEggPred,NumEggAband,NumEggFailToHatch,NumEggAbandUnhat,NumEggUnknown,NumEggHatch,NumChicksSeen,dom_land,dom_veg,conceal,Treatment,Date_treatment,Comments,Plot_limit_corr,Known_renest
,2010,eaba,10eabarpk03,reph,eaba_crew,25-Jun-10,176,63.99002778,-81.65825,a,in,,15-Jul-10,196,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,3,3,26-Jun-10,19,NA,NA,,,22-Jun-10,173,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabaruk12,rutu,eaba_crew,08-Jul-10,189,63.99691667,-81.72297222,l,in,,01-Aug-10,213,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,3,3,9-Jul-10,22.5,NA,NA,,,,,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabawrk02,wrsa,eaba_crew,20-Jun-10,171,63.99319444,-81.67358333,e ,in,,13-Jul-10,194,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,3,3,21-Jun-10,22,NA,NA,,,,,,13-Jul-10,194,,,hatched,,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2013,prba,13prba13bwr022,reph,brobinson,17-Jun-13,168,70.27818,-148.79338,6,in,,07-Jul-13,188,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,4,1,,,7-Jul-13,188,7-Jul-13,188,16-Jun-13,167,19-Jun-13,7-Jul-13,188,hatch,lay,hatched,,,0,,0,,0,0,,0,NA,,NA,unit0,M4,10,,,,in,0
22.1,2009,barr,09barrdunl055,dunl,pmickelson,11-Jun-09,162,71.26582,-156.82348,brwfwl,out,fwlk,,NA,single,,,-,-,-,-,-,-,-,-,-,-,0,,,4,2,,,11-Jun-09,162,14-Jun-09,165,,,,,,lay,inc,failed,predation,0,0,0,0,0,2,0,,0,NA,0,0,,,,,,,out,
15.13,2010,barr,10barrpesa406,pesa,ehsu,18-Jun-10,169,71.27443,-156.76892,brwfwl,out,,,NA,single,,,-,-,-,-,-,-,-,-,-,-,0,,,2,2,,,18-Jun-10,169,,,,,,,,,unknown,undetermined,undetermined,0,NA,,,,,,,0,NA,,NA,,,,,,no bird trapped - nest not followed ,out,
15.17,2010,barr,10barrpesa408,pesa,ehsu,18-Jun-10,169,71.279,-156.78485,brwfwl,out,,,NA,single,,,-,-,-,-,-,-,-,-,-,-,0,,,2,2,,,18-Jun-10,169,,,,,,,,,unknown,undetermined,undetermined,0,NA,,,,,,,0,NA,,NA,,,,,,no bird trapped - nest not followed ,out,
,2014,cakr,14cakrtusw003,tusw,mmcconnell,26-May-14,146,67.11346,-163.50853,camp,out,,29-Jun-14,180,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,2,2,,,29-Jun-14,180,27-Jun-14,178,24-May-14,144,27-May-14,27-Jun-14,178,hatch,inc,hatched,,0,0,0,1,unknown,0,0,,0,NA,,NA,non-patterned,wsm,0,,,"one cygnet seen in the lagoon with both adults on 29 jun. hatch could have been 27 jun because adult behavior seemed different on that day. Init/inc. dates calculated back from hatch (assume 32 day incubation). Possible that both eggs were viable, but one went missing from the nest during incubation. Also possible that there were more than two eggs, but the nest was partially depredated.",out,0
,2010,eaba,10eaba41883,sepl,eaba_crew,19-Jun-10,170,63.99836111,-81.70063889,j,in,,17-Jul-10,198,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,2,2,21-Jun-10,26,NA,NA,,,,,,,,,,unknown,,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabarpa05,reph,eaba_crew,04-Jul-10,185,63.98805556,-81.71463889,g,in,,25-Jul-10,206,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,2,2,6-Jul-10,19,NA,NA,,,2-Jul-10,183,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabarpk06,reph,eaba_crew,08-Jul-10,189,63.99455556,-81.72283333,l,in,,29-Jul-10,210,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,2,2,10-Jul-10,19,NA,NA,,,6-Jul-10,187,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabarudm09,rutu,eaba_crew,05-Jul-10,186,63.99536111,-81.73386111,l,in,,25-Jul-10,206,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,2,2,,24,NA,NA,,,,,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabasek02,sepl,eaba_crew,03-Jul-10,184,63.99783333,-81.72316667,k,in,,29-Jul-10,210,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,2,2,5-Jul-10,24,NA,NA,,,,,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabawra01,wrsa,eaba_crew,22-Jun-10,173,63.98144444,-81.70691667,c,in,,18-Jul-10,199,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,2,2,24-Jun-10,24,NA,NA,,,,,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabawrd03,wrsa,eaba_crew,20-Jun-10,171,63.98661111,-81.69186111,g,in,,16-Jul-10,197,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,2,2,22-Jun-10,24,NA,NA,,,,,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabawrk01,wrsa,eaba_crew,19-Jun-10,170,63.98647222,-81.66113889,a,in,,13-Jul-10,194,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,2,2,21-Jun-10,22,NA,NA,,,,,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabawrm09,wrsa,eaba_crew,09-Jul-10,190,64.00930556,-81.65983333,e ,in,,02-Aug-10,214,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,2,2,11-Jul-10,22,NA,NA,,,,,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,out,0
,2010,bylo,10byloamgpjfl31,amgp,jflamarre,11-Jul-10,192,72.98707,-80.0741,valmyth,,,18-Jul-10,199,incidental,,,-,-,-,-,-,-,-,-,-,-,0,,,3,4,10-Jul-10,19,NA,NA,,,19-Jun-10,170,23-Jun-10,,,float,inc,undetermined,,0,0,0,0,0,0,0,,0,NA,,NA,,,,,,,out,0
,2014,bylo,14byloamgpfl01,amgp,flapierrepoulin,17-Jun-14,168,72.99973,-80.00745,flycamp,,,13-Jul-14,194,incidental,,,-,-,-,-,-,-,-,-,-,-,0,,,3,4,5-Jul-14,16,5-Jul-14,186,,,15-Jun-14,166,18-Jun-14,,,lay,lay,undetermined,,0,0,0,0,0,0,0,,0,NA,,NA,,,,,,,out,0
,2014,bylo,14bylobasadl01,basa,dleandribreton,18-Jun-14,169,72.89427,-79.90232,camp 2,,,09-Jul-14,190,incidental,,,-,-,-,-,-,-,-,-,-,-,0,,,3,4,,0,9-Jul-14,190,9-Jul-14,190,16-Jun-14,167,19-Jun-14,9-Jul-14,190,lay,lay,hatched,,0,0,0,0,0,0,0,,0,NA,,NA,,,,,,egg bits with membrans.,out,0
,2014,bylo,14byloreknjl01,rekn,jflamarre,16-Jun-14,167,73.14043,-79.91821,camp1_2kx4k,out,,08-Jul-14,189,incidental,,,-,-,-,-,-,-,-,-,-,-,0,,,3,4,,0,17-Jun-14,168,10-Jul-14,191,14-Jun-14,165,17-Jun-14,,,lay,lay,unknown,,0,0,0,0,0,0,0,,0,NA,,NA,,,,,,no egg bits found,out,0
,2010,eaba,10eababba04,bbpl,eaba_crew,27-Jun-10,178,64.00386111,-81.67616667,i,in,,25-Jul-10,206,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,1,1,27-Jun-10,28,NA,NA,,,,,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eababbk01,bbpl,eaba_crew,21-Jun-10,172,63.99575,-81.68280556,f,in,,19-Jul-10,200,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,1,1,21-Jun-10,28,NA,NA,,,,,,19-Jul-10,200,,,hatched,,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabarpa04,reph,eaba_crew,04-Jul-10,185,63.988,-81.71011111,g,in,,26-Jul-10,207,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,1,1,7-Jul-10,19,NA,NA,,,3-Jul-10,184,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabarpk07,reph,eaba_crew,08-Jul-10,189,63.99688889,-81.72394444,l,in,,30-Jul-10,211,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,1,1,11-Jul-10,19,NA,NA,,,7-Jul-10,188,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabarpk08,reph,eaba_crew,08-Jul-10,189,63.99641667,-81.72658333,l,in,,30-Jul-10,211,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,1,1,11-Jul-10,19,NA,NA,,,7-Jul-10,188,,,,,,unknown,,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabarpm01,reph,eaba_crew,26-Jun-10,177,63.99505556,-81.68233333,f,in,,18-Jun-10,169,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,1,1,29-Jun-10,19,NA,NA,,,26-May-10,146,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabarpm02,reph,eaba_crew,26-Jun-10,177,63.996,-81.69363889,f,in,,18-Jun-10,169,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,1,1,29-Jun-10,19,NA,NA,,,26-May-10,146,,,,,,unknown,,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabased01,sepl,eaba_crew,22-Jun-10,173,63.99655556,-81.71127778,k,in,,21-Jul-10,202,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,1,1,25-Jun-10,26,NA,NA,,,,,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabasem01,sepl,eaba_crew,24-Jun-10,175,64.00361111,-81.74136111,l,in,,24-Jul-10,205,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,1,1,27-Jun-10,27,NA,NA,,,,,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,out,0
,2010,eaba,10eabawra03,wrsa,eaba_crew,02-Jul-10,183,63.99230556,-81.68261111,f,in,,30-Jul-10,211,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,1,1,5-Jul-10,25,NA,NA,,,,,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabawrk03,wrsa,eaba_crew,21-Jun-10,172,63.99158333,-81.69580556,f,in,,16-Jul-10,197,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,1,1,24-Jun-10,25,NA,NA,,,,,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,in,0
,2010,eaba,10eabawrm03,wrsa,eaba_crew,27-Jun-10,178,64.00675,-81.69263889,j,in,,25-Jul-10,206,searcher,,,-,-,-,-,-,-,-,-,-,-,0,,,1,1,30-Jun-10,25,NA,NA,,,,,,,,,,failed,predation,,NA,,,,,,,0,NA,,NA,,,,,,,out,0
,2013,prba,13prba13bwr014,lbdo,"cdavis, brobinson",14-Jun-13,165,70.27104,-148.79491,5,in,,03-Jul-13,184,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,3,4,,,5-Jul-13,186,5-Jul-13,186,11-Jun-13,162,15-Jun-13,5-Jul-13,186,lay,lay,hatched,,,0,,0,,0,0,,0,NA,,NA,unit5,U4,0,,,,in,0
2.09,2003,barr,03barrdunl203,dunl,burle,12-Jun-03,163,71.29622,-156.64484,brw2,out,a8,,NA,rapid,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,,,12-Jun-03,163,15-Jun-03,166,,,,,,float,inc,failed,predation,0,0,0,0,,4,0,,0,NA,0,0,,,,,,"nest not found but no adults present, found during rapids and not marked with tongue depressor",out,
2.08,2003,barr,03barrdunl303,dunl,trask,10-Jun-03,161,71.29596,-156.65415,brw2,out,a5,,NA,single,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,,,10-Jun-03,161,15-Jun-03,166,,,,,,float,inc,failed,predation,0,0,0,0,,4,0,,0,NA,0,0,,,,,,"nest not found, not marked with tongue depressor",out,
3.06,2003,barr,03barrdunl304,dunl,trask,14-Jun-03,165,71.26971,-156.52981,brw3,,f6,03-Jul-03,184,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,14-Jun-03,2,16-Jun-03,167,23-Jun-03,174,9-Jun-03,160,12-Jun-03,,,float,inc,failed,predation,0,0,0,0,9,4,0,,0,0,0,0,,,,,,"eggs gone, no shells found;  ",in,0
2.24,2003,barr,03barrdunl313,dunl,trask,22-Jun-03,173,71.2943,-156.65538,brw2,,d3,08-Jul-03,189,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,22-Jun-03,5,22-Jun-03,173,29-Jun-03,180,14-Jun-03,165,17-Jun-03,,,float,inc,failed,predation,0,0,0,0,9,4,0,,0,0,0,0,,,,,,"empty nest, no shells or signs;  ",in,0
4.09,2003,barr,03barrdunl316,dunl,trask,23-Jun-03,174,71.26486,-156.48521,brw4,,d10,14-Jul-03,195,single,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,23-Jun-03,0,25-Jun-03,176,29-Jun-03,180,20-Jun-03,171,23-Jun-03,,,float,inc,failed,predation,0,0,0,0,9,4,0,,0,0,0,0,,,,,,"empty nest, shell nearby;  ",out,0
3.24,2003,barr,03barrdunl327,dunl,trask,06-Jul-03,187,71.2684,-156.52186,brw3,in,i12,20-Jul-03,201,bander,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,6-Jul-03,7,6-Jul-03,187,8-Jul-03,189,26-Jun-03,177,29-Jun-03,,,float,inc,failed,predation,0,0,0,0,9,4,0,,0,0,0,0,,,,,,"no eggs or shells, no parent;  ",in,0
2.04,2003,barr,03barrdunl504,dunl,lanctot,11-Jun-03,162,71.29429,-156.65623,brw2,in,d2,27-Jun-03,178,bander,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,11-Jun-03,5,11-Jun-03,162,15-Jun-03,166,3-Jun-03,154,6-Jun-03,,,float,inc,failed,predation,0,0,0,0,9,4,0,,0,0,0,0,,,,,,predated before 2nd visit;  ,in,0
3.09,2003,barr,03barrdunl509,dunl,lanctot,16-Jun-03,167,71.26384,-156.52462,brw3,out,out,03-Jul-03,184,bander,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,16-Jun-03,4,16-Jun-03,167,18-Jun-03,169,9-Jun-03,160,12-Jun-03,,,float,inc,failed,predation,0,0,0,0,,4,0,,0,NA,0,0,,,,,,"eggs gone, no shells found",out,
1.02,2003,barr,03barrdunl701,dunl,taylor,11-Jun-03,162,71.29577,-156.63974,brw1,out,f1,30-Jun-03,181,bander,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,11-Jun-03,2,11-Jun-03,162,15-Jun-03,166,6-Jun-03,157,9-Jun-03,,,float,inc,failed,predation,0,0,0,0,,4,0,,0,NA,0,0,,,,,,"3 shells found, mammal?",out,
2.19,2003,barr,03barrlbdo407,lbdo,taylor,17-Jun-03,168,71.29094,-156.64741,brw2,,j9,08-Jul-03,189,bander,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,17-Jun-03,0,17-Jun-03,168,20-Jun-03,171,14-Jun-03,165,17-Jun-03,,,float,inc,failed,predation,0,0,0,0,9,4,0,,0,0,0,0,,,,,,"empty nest, no shells or signs;  ",in,0
2.13,2003,barr,03barrpesa404,pesa,taylor,14-Jun-03,165,71.29061,-156.64473,brw2,in,k11,05-Jul-03,186,bander,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,14-Jun-03,1,24-Jun-03,175,29-Jun-03,180,10-Jun-03,161,13-Jun-03,,,float,inc,failed,abandoned,0,0,4,0,,0,4,,4,0,0,0,,,,,,nest aband by 22 june;  ,in,0
2.25,2003,barr,03barrpesa513,pesa,lanctot,24-Jun-03,175,71.29176,-156.6525,brw2,,i5,14-Jul-03,195,bander,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,24-Jun-03,2,29-Jun-03,180,4-Jul-03,185,19-Jun-03,170,22-Jun-03,,,float,inc,failed,predation,0,0,0,0,9,4,0,,0,0,0,0,,,,,,"no eggs or shells, predation;  ",in,0
3.2,2003,barr,03barrreph010,reph,thomas,29-Jun-03,180,71.27099,-156.52743,brw3,,c9,12-Jul-03,193,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,29-Jun-03,7,2-Jul-03,183,2-Jul-03,183,19-Jun-03,170,22-Jun-03,,,float,inc,unknown,,0,0,0,0,9,0,0,,0,4,0,0,,,,,,"no parent or chick, predation; uncertain fate, within 4 days and no evidence of failure or hatching; ; ",in,0
2.16,2003,barr,03barrreph102,reph,denega,15-Jun-03,166,71.29306,-156.64521,brw2,,f10,03-Jul-03,184,single,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,15-Jun-03,2,17-Jun-03,168,29-Jun-03,180,10-Jun-03,161,13-Jun-03,,,float,inc,failed,predation,0,0,0,0,9,4,0,,0,0,0,0,,,,,,"eggs gone, no shells found;  ",in,0
3.18,2003,barr,03barrreph105,reph,denega,27-Jun-03,178,71.2694,-156.52181,brw3,in,g12,,NA,single,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,,,30-Jun-03,181,30-Jun-03,181,7-Jun-03,158,10-Jun-03,30-Jun-03,181,hatch,inc,hatched,,0,0,0,0,9,0,0,,0,0,4,0,,,,,,"1e pipped 29jun, no hatch though; eggs never floated found starred and pipped, age not known; ; ",in,0
2.11,2003,barr,03barrreph302,reph,trask,13-Jun-03,164,71.29295,-156.65348,brw2,,g4,01-Jul-03,182,rope,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,13-Jun-03,2,14-Jun-03,165,17-Jun-03,168,8-Jun-03,159,11-Jun-03,,,float,inc,failed,predation,0,0,0,0,9,4,0,,0,0,0,0,,,,,,"nest empty, no evidence of fox or avian;  ",in,0
4.1,2003,barr,03barrreph321,reph,trask,26-Jun-03,177,71.26407,-156.49556,brw4,,e3,10-Jul-03,191,single,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,26-Jun-03,6,26-Jun-03,177,29-Jun-03,180,17-Jun-03,168,20-Jun-03,,,float,inc,failed,predation,0,0,0,0,9,4,0,,0,0,0,0,,,,,,"empty nest, no shells or signs;  ",out,0
1.16,2003,barr,03barrreph324,reph,trask,27-Jun-03,178,71.29711,-156.63991,brw1,,d3,14-Jul-03,195,single,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,27-Jun-03,3,2-Jul-03,183,7-Jul-03,188,21-Jun-03,172,24-Jun-03,,,float,inc,failed,predation,,0,0,0,,4,0,,0,0,0,0,,,,,,failed - predated;  ,in,0
4.05,2003,barr,03barrreph411,reph,taylor,20-Jun-03,171,71.26417,-156.49781,brw4,in,d1,05-Jul-03,186,bander,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,20-Jun-03,5,20-Jun-03,171,25-Jun-03,176,12-Jun-03,163,15-Jun-03,,,float,inc,failed,predation,0,0,0,0,9,4,0,,0,0,0,0,,,,,,"empty nest, no shells or signs;  ",out,0
2.07,2003,barr,03barrsesa301,sesa,trask,12-Jun-03,163,71.29512,-156.6558,brw2,in,a3,,NA,rapid,,,-,-,-,-,-,-,-,-,-,-,0,,,4,4,,,12-Jun-03,163,12-Jun-03,163,9-Jun-03,160,,,,unknown,inc,unknown,,0,0,0,0,9,0,0,,0,4,0,0,,,,,,"nest found with 4 eggs, but not floated. Nest not found in subsequent visit, but no adults present. Found during rapids and not marked with tongue depressor; eggs never floated - no initiation or age date available.  Fate unknown-never marked or refound nest-assumed predated; ; ",in,0
