Original_band,Year,Sex,Sex_method
6033,1994,f,bill
6034,1994,f,bill
6036,1994,f,bill
6041,1994,f,bill
6042,1994,f,bill
6043,1994,f,bill
6047,1994,f,bill
6075,1994,f,bill
6076,1994,f,bill
6080,1994,f,bill
6085,1994,f,bill
6086,1994,f,bill
6087,1994,f,bill
6089,1994,f,bill
6105,1994,f,bill
6108,1994,f,bill
6111,1994,f,bill
6115,1994,f,bill
6118,1994,f,bill
6121,1994,f,bill
6126,1994,f,bill
6127,1994,f,bill
6130,1994,f,bill
6131,1994,f,bill
6137,1994,f,bill
6138,1994,f,bill
6140,1994,f,bill
6141,1994,f,bill
6143,1994,f,bill
6162,1994,f,bill
6331,1995,f,bill
6343,1995,f,bill
6344,1995,f,bill
6345,1995,f,bill
6355,1995,f,bill
6359,1995,f,bill
6361,1995,f,bill
6362,1995,f,bill
6367,1995,f,bill
6369,1995,f,bill
6371,1995,f,bill
6375,1995,f,bill
6377,1995,f,bill
6379,1995,f,bill
6380,1995,f,bill
6385,1995,f,bill
6386,1995,f,bill
6387,1995,f,bill
6389,1995,f,bill
6391,1995,f,bill
6402,1995,f,bill
6408,1995,f,bill
6431,1998,f,bill
6470,1995,f,bill
6478,1995,f,bill
6481,1995,f,bill
6482,1995,f,bill
6535,1995,f,bill
6554,1995,f,bill
6624,1996,f,bill
6831,1996,f,bill
7105,1996,f,bill
7108,1996,f,bill
7110,1996,f,bill
7115,1996,f,bill
7116,1996,f,bill
7117,1996,f,bill
7119,1996,f,bill
7120,1996,f,bill
7124,1996,f,bill
7126,1996,f,bill
7132,1996,f,bill
7137,1996,f,bill
7138,1996,f,bill
7141,1996,f,bill
7143,1996,f,bill
7150,1996,f,bill
7151,1996,f,bill
7152,1996,f,bill
7153,1996,f,bill
7154,1996,f,bill
7158,1996,f,bill
7161,1996,f,bill
7162,1996,f,bill
7163,1996,f,bill
7164,1996,f,bill
7174,1996,f,bill
7202,1996,f,bill
7208,1996,f,bill
7217,1996,f,bill
7221,1996,f,bill
7228,1996,f,bill
7295,1997,f,bill
7301,1996,f,bill
7309,1996,f,bill
7310,1996,f,bill
7320,1996,f,bill
7334,1999,f,bill
7339,1997,f,bill
7363,1996,f,bill
7390,1996,f,bill
7400,1997,f,bill
7421,1997,f,bill
7442,1996,f,bill
7448,1998,f,bill
7457,1998,f,bill
7472,1997,f,bill
7473,1997,f,bill
7481,1997,f,bill
7486,1997,f,undocumented
7496,1997,f,bill
7505,1997,f,bill
7508,1997,f,bill
7510,1997,f,bill
7513,1997,f,bill
7515,1997,f,bill
7538,1997,f,bill
7539,1997,f,bill
7552,1997,f,bill
7564,1997,u,bill_ELW
7566,1998,f,bill
7571,1998,f,bill
7572,1998,f,bill
7574,1998,f,bill
7575,1998,f,bill
7576,1998,f,bill
7585,1998,f,bill
7586,1998,f,bill
7587,1998,f,bill
7588,1998,f,bill
7595,1998,f,bill
7603,1997,f,bill
7604,1997,f,bill
7605,1997,f,bill
7606,1997,f,bill
7607,1997,f,bill
7617,1997,f,bill
7659,1999,f,bill
7663,1998,f,bill
7703,1998,f,bill
7706,1998,f,bill
7707,1998,f,bill
7708,1998,f,bill
7715,1999,f,bill
7719,1998,f,bill
7722,1998,f,bill
7772,1998,f,bill
7808,1998,f,bill
7933,1999,f,bill
7934,1999,f,bill
7935,1999,f,bill
7940,1999,f,bill
7942,1999,f,bill
7943,1999,f,bill
7953,1999,f,bill
7954,1999,f,bill
7956,1999,f,bill
7957,1999,f,bill
7958,1999,f,bill
7964,1999,f,bill
7965,1999,f,bill
7966,1999,f,bill
45101,1999,f,bill
45105,1999,f,bill
45118,1999,u,bill
56171,1996,f,bill
56221,1994,f,bill
56937,1996,f,bill
58033,1993,f,bill
58049,1993,f,bill
58054,1993,f,bill
58056,1993,f,bill
58058,1993,f,bill
58065,1993,f,bill
58069,1993,f,bill
58070,1993,f,bill
58075,1993,f,bill
58081,1993,f,bill
58082,1993,f,bill
58085,1993,f,bill
58086,1993,f,bill
58087,1994,f,bill
58090,1993,f,bill
58102,1993,f,bill
58109,1993,f,bill
58110,1993,f,bill
58123,1993,f,"conflicting_records, bill"
58130,1993,f,bill
58131,1993,f,bill
58133,1993,f,bill
58135,1993,f,bill
58138,1993,f,bill
58141,1993,f,bill
58144,1994,f,bill
58146,1993,f,bill
58148,1993,f,bill
58168,1993,f,bill
58169,1993,f,bill
58177,1993,f,bill
58180,1993,f,bill
58202,1993,f,bill
58214,1993,f,bill
58222,1993,f,bill
58223,1993,f,bill
58231,1993,f,bill
58234,1993,f,bill
58239,1993,f,bill
58240,1993,f,bill
58241,1993,f,bill
58251,1993,f,bill
58255,1993,f,bill
58281,1993,f,bill
58282,1993,f,bill
58288,1993,f,bill
58292,1993,f,bill
58294,1993,f,bill
58295,1993,f,bill
58312,1993,f,bill
58335,1993,f,undocumented
58338,1995,f,bill
58410,1993,f,bill
58413,1996,f,bill
58529,1999,f,bill
58678,1993,f,bill
6024,1999,m,bill
6014,1999,m,bill
6112,1999,m,bill
58139,1996,m,bill
58154,1999,m,bill
58037,1998,m,bill
58094,1998,m,bill
58171,1996,m,bill
58175,1996,m,bill
58219,1996,m,bill
6025,1996,m,bill
6050,1996,m,"conflicting_records, bill"
6101,1996,m,bill
6117,1998,m,bill
6368,1999,m,bill
58044,1996,m,bill
58068,1998,m,bill
58073,1996,m,bill
58091,1996,m,bill
58220,1996,m,bill
58224,1995,m,bill
58284,1995,m,bill
58293,1996,m,bill
6013,1998,m,bill
6016,1996,m,bill
6040,1995,m,bill
6084,1996,m,bill
6109,1996,m,bill
6110,1996,m,bill
6114,1996,m,bill
6123,1996,m,bill
6142,1996,m,bill
6358,1998,m,bill
6376,1998,m,bill
6382,1998,m,bill
7104,1998,m,bill
7127,1999,m,bill
7136,1998,m,bill
7516,1998,m,bill
7618,1999,m,bill
58029,1995,m,"conflicting_records, bill"
58063,1995,m,bill
58064,1998,m,bill
58071,1995,m,bill
58079,1996,m,bill
58083,1995,m,"conflicting_records, bill"
58088,1995,m,bill
58103,1995,m,bill
58104,1995,m,bill
58105,1997,m,bill
58112,1996,m,bill
58113,1994,m,bill
58121,1996,m,bill
58126,1995,m,bill
58129,1996,m,bill
58137,1996,m,"conflicting_records, bill"
58208,1996,m,bill
58211,1995,m,bill
58233,1995,m,bill
58236,1995,m,bill
58242,1994,m,bill
58285,1995,m,bill
58289,1995,m,bill
58328,1995,m,bill
6044,1995,m,bill
6053,1996,m,bill
6119,1995,m,bill
6122,1996,m,bill
6124,1995,m,bill
6134,1995,m,bill
6155,1994,m,bill
6163,1996,m,bill
6223,1998,m,bill
6346,1996,m,bill
6348,1996,m,bill
6354,1996,m,bill
6356,1996,m,bill
6363,1996,m,bill
6446,1996,m,bill
6447,1996,m,bill
6533,1996,m,bill
6550,1996,m,"conflicting_records, bill"
7109,1996,m,bill
7118,1997,m,bill
7121,1996,m,bill
7129,1996,m,bill
7131,1996,m,bill
7148,1996,m,bill
7180,1996,m,bill
7184,1996,m,bill
7201,1996,m,bill
7222,1999,m,bill
7302,1996,m,bill
7384,1997,m,bill
7470,1996,m,bill
7471,1999,m,bill
7503,1998,m,bill
7581,1998,m,bill
7601,1999,m,bill
7712,1999,m,bill
56080,1996,m,bill
58024,1996,m,"conflicting_records, bill"
58031,1994,m,bill
58032,1994,m,bill
58040,1996,m,bill
58041,1994,m,bill
58057,1994,m,bill
58067,1994,m,bill
58072,1993,m,"conflicting_records, bill"
58074,1995,m,bill
58106,1995,m,bill
58107,1994,m,bill
58117,1994,m,bill
58118,1995,m,bill
58142,1995,m,bill
58147,1995,m,"conflicting_records, bill"
58150,1994,m,bill
58155,1994,m,bill
58165,1995,m,bill
58207,1994,m,bill
58209,1995,m,bill
58213,1993,m,bill
58218,1994,m,bill
58229,1994,m,bill
58235,1994,m,bill
58252,1994,m,bill
58253,1993,m,bill
58287,1994,m,bill
58299,1994,m,bill
58496,1993,m,bill
79177,1994,m,"conflicting_records, plumage"
79182,1994,m,plumage
79184,1994,m,plumage
79186,1994,m,plumage
6006,1994,m,bill
6015,1994,m,bill
6018,1994,m,bill
6022,1994,m,plumage
6028,1994,m,bill
6030,1994,m,bill
6031,1994,m,bill
6032,1994,m,plumage
6037,1994,m,bill
6039,1994,m,bill
6045,1994,m,bill
6046,1994,m,bill
6048,1994,m,bill
6051,1994,m,bill
6052,1994,m,bill
6062,1994,m,plumage
6063,1995,m,plumage
6072,1994,m,bill
6073,1994,m,bill
6074,1994,m,bill
6083,1994,m,bill
6088,1994,m,bill
6090,1994,m,bill
6091,1994,m,plumage
6092,1994,m,bill
6093,1994,m,plumage
6107,1994,m,bill
6116,1994,m,bill
6120,1994,m,bill
6128,1994,m,bill
6133,1994,m,plumage
6135,1994,m,bill
6136,1994,m,plumage
6145,1994,m,plumage
6151,1994,m,bill
6156,1994,m,plumage
6318,1995,m,bill
6332,1995,m,bill
6333,1995,m,plumage
6340,1995,m,bill
6341,1995,m,bill
6342,1995,m,bill
6349,1995,m,bill
6357,1995,m,bill
6370,1996,m,bill
6378,1995,m,bill
6381,1995,m,bill
6383,1995,m,bill
6384,1995,m,bill
6390,1995,m,bill
6392,1995,m,bill
6393,1995,m,bill
6396,1995,m,plumage
6400,1995,m,bill
6401,1995,m,plumage
6451,1995,m,bill
6457,1995,m,bill
6464,1995,m,bill
6471,1995,m,plumage
6476,1995,m,bill
6477,1995,m,plumage
6500,1995,m,plumage
6505,1995,m,bill
6543,1995,m,bill
6544,1995,m,plumage
6545,1995,m,bill
6547,1995,m,plumage
6548,1995,m,plumage
6574,1995,m,plumage
6575,1995,m,plumage
6576,1995,m,plumage
6651,1995,m,plumage
7102,1996,m,bill
7106,1996,m,bill
7107,1996,m,bill
7112,1996,m,bill
7113,1996,m,bill
7114,1996,m,bill
7122,1996,m,bill
7123,1996,m,bill
7128,1996,m,bill
7133,1996,m,bill
7139,1996,m,bill
7140,1996,m,bill
7147,1996,m,bill
7149,1996,m,bill
7155,1996,m,bill
7165,1996,m,bill
7173,1996,m,bill
7197,1998,m,bill
7219,1996,m,bill
7225,1998,m,bill
7227,1996,m,bill
7240,1999,m,bill
7304,1996,m,bill
7319,1996,m,bill
7326,1996,m,bill
7352,1997,m,bill
7359,1996,m,bill
7360,1996,m,bill
7370,1997,m,bill
7389,1996,m,bill
7444,1996,m,bill
7475,1997,m,bill
7480,1999,m,bill
7502,1997,m,bill
7504,1997,m,bill
7506,1997,m,bill
7507,1997,m,bill
7509,1997,f,bill
7511,1997,m,bill
7512,1997,m,bill
7518,1997,m,bill
7519,1997,m,bill
7520,1997,f,"bill, mate_compare"
7553,1997,m,bill
7554,1997,m,bill
7565,1997,m,bill
7568,1998,m,bill
7569,1998,m,bill
7570,1998,m,bill
7573,1998,m,bill
7577,1998,m,bill
7578,1998,f,"bill, mate_compare"
7579,1998,m,bill
7582,1999,m,bill
7583,1998,m,bill
7589,1998,m,bill
7590,1998,m,bill
7591,1999,m,bill
7592,1999,m,bill
7602,1997,m,bill
7608,1997,m,bill
7610,1997,m,bill
7611,1997,m,bill
7624,1997,m,bill
7639,1999,m,bill
7651,1998,m,bill
7688,1998,m,bill
7701,1998,m,bill
7702,1998,m,bill
7704,1998,m,bill
7705,1998,m,bill
7711,1998,m,bill
7714,1998,m,bill
7716,1998,m,bill
7717,1998,m,bill
7718,1998,m,bill
7721,1998,m,bill
7771,1998,u,conflicting_records
7941,1999,m,bill
7952,1999,m,bill
45102,1999,m,bill
45103,1999,m,bill
45104,1999,m,bill
45106,1999,m,bill
45107,1999,m,bill
45108,1999,m,bill
45109,1999,m,bill
53184,1998,m,bill
56026,1994,m,plumage
56069,1999,m,bill
56070,1996,m,bill
58019,1993,m,bill
58020,1993,m,bill
58025,1993,m,bill
58034,1993,m,bill
58059,1993,m,bill
58062,1993,m,bill
58077,1993,m,bill
58080,1993,m,bill
58089,1993,m,bill
58093,1993,m,bill
58095,1995,m,plumage
58097,1993,m,bill
58099,1993,m,"conflicting_records, bill"
58111,1993,m,bill
58125,1993,m,bill
58132,1993,m,bill
58134,1993,m,bill
58136,1993,m,bill
58140,1993,m,bill
58145,1993,m,bill
58159,1994,m,bill
58160,1994,m,bill
58164,1993,m,bill
58166,1993,m,bill
58167,1993,m,bill
58170,1993,m,bill
58172,1993,m,bill
58176,1993,m,bill
58181,1993,m,bill
58184,1993,m,bill
58185,1993,m,bill
58186,1993,m,bill
58201,1993,m,bill
58206,1993,m,bill
58212,1993,m,bill
58216,1993,m,bill
58217,1993,m,bill
58221,1993,m,bill
58226,1993,m,bill
58237,1993,m,bill
58246,1993,m,bill
58254,1993,m,bill
58257,1993,m,bill
58277,1993,m,bill
58290,1993,m,bill
58297,1993,m,bill
58376,1993,m,bill
58406,1995,m,bill
58559,1994,m,plumage
58561,1994,m,plumage
58687,1997,m,bill
79170,1994,m,plumage
79185,1993,m,plumage
79187,1993,m,plumage
79188,1993,m,plumage
79189,1993,m,plumage
6001,1994,m,bill
6002,1994,f,bill
6003,1994,m,bill
6004,1994,m,bill
6005,1994,f,bill
6007,1994,f,bill
6009,1994,f,bill
6054,1994,m,bill
6055,1994,m,bill
6056,1994,f,bill
6057,1994,f,bill
6058,1994,m,bill
6059,1994,f,bill
6060,1994,f,bill
6064,1994,m,bill
6065,1994,f,bill
6066,1994,f,bill
6067,1994,f,plumage
6068,1994,f,bill
6069,1994,f,bill
6070,1994,f,bill
6094,1994,m,bill
6095,1994,m,bill
6096,1994,m,bill
6097,1994,m,bill
6098,1994,m,bill
6099,1994,f,bill
6100,1994,m,bill
6144,1994,m,plumage
6146,1994,f,bill
6147,1994,m,bill
6148,1994,f,bill
6149,1994,m,bill
6150,1994,m,bill
6157,1994,u,undocumented
6159,1994,f,bill
6160,1994,f,bill
6164,1994,f,bill
6165,1994,f,bill
6166,1994,m,bill
6167,1994,f,bill
6168,1994,m,bill
6169,1994,f,bill
6170,1994,m,bill
6171,1994,m,bill
6174,1994,u,undocumented
6175,1994,u,undocumented
6176,1994,u,undocumented
6177,1994,u,undocumented
6178,1994,u,undocumented
6179,1994,u,undocumented
6180,1994,u,undocumented
6181,1994,u,undocumented
6182,1994,u,undocumented
6183,1994,u,undocumented
6184,1994,u,undocumented
6185,1994,u,undocumented
6186,1994,u,undocumented
6187,1994,u,undocumented
6188,1994,u,undocumented
6189,1994,u,undocumented
6190,1994,u,undocumented
6191,1994,u,undocumented
6192,1994,u,undocumented
6193,1994,u,undocumented
6194,1994,u,undocumented
6195,1994,u,undocumented
6196,1994,u,undocumented
6197,1994,u,undocumented
6198,1994,u,undocumented
6199,1994,u,undocumented
6200,1994,u,undocumented
6201,1994,u,undocumented
6202,1994,u,undocumented
6203,1994,u,undocumented
6204,1994,u,undocumented
6205,1994,u,undocumented
6206,1994,u,undocumented
6207,1994,u,undocumented
6208,1994,u,undocumented
6209,1994,u,undocumented
6210,1994,u,undocumented
6211,1994,u,undocumented
6212,1994,u,undocumented
6213,1994,u,undocumented
6214,1994,u,undocumented
6216,1994,u,undocumented
6217,1994,u,undocumented
6218,1994,u,undocumented
6219,1994,u,undocumented
6220,1994,u,undocumented
6221,1994,u,undocumented
6222,1994,u,undocumented
6224,1994,m,bill
6225,1994,u,undocumented
6226,1994,u,undocumented
6227,1994,u,undocumented
6228,1994,u,undocumented
6229,1994,u,undocumented
6230,1994,u,undocumented
6231,1994,u,undocumented
6232,1994,u,undocumented
6233,1994,u,undocumented
6234,1994,u,undocumented
6235,1994,u,undocumented
6236,1994,u,undocumented
6237,1994,u,undocumented
6238,1994,u,undocumented
6239,1994,u,undocumented
6240,1994,u,undocumented
6241,1994,u,undocumented
6242,1994,u,undocumented
6243,1994,u,undocumented
6244,1994,u,undocumented
6245,1994,u,undocumented
6246,1994,u,undocumented
6247,1994,u,undocumented
6248,1994,u,undocumented
6249,1994,u,undocumented
6250,1994,u,undocumented
6251,1994,u,undocumented
6252,1994,u,undocumented
6253,1994,u,undocumented
6254,1994,u,undocumented
6255,1994,u,undocumented
6256,1994,u,undocumented
6257,1994,u,undocumented
6258,1994,u,undocumented
6259,1994,u,undocumented
6260,1994,u,undocumented
6261,1994,u,undocumented
6262,1994,u,undocumented
6263,1994,u,undocumented
6264,1994,u,undocumented
6265,1994,u,undocumented
6266,1994,u,undocumented
6267,1994,u,undocumented
6268,1994,u,undocumented
6269,1994,u,undocumented
6270,1994,u,undocumented
6271,1994,u,undocumented
6272,1994,u,undocumented
6273,1994,u,undocumented
6274,1994,u,undocumented
6275,1994,u,undocumented
6276,1994,u,undocumented
6277,1994,u,undocumented
6278,1994,u,undocumented
6279,1994,u,undocumented
6280,1994,u,undocumented
6281,1994,u,undocumented
6282,1994,u,undocumented
6284,1994,u,undocumented
6285,1994,u,undocumented
6286,1994,u,undocumented
6287,1994,u,undocumented
6288,1994,u,undocumented
6289,1994,u,undocumented
6290,1994,u,undocumented
6291,1994,u,undocumented
6292,1994,u,undocumented
6293,1994,u,undocumented
6294,1994,u,undocumented
6295,1994,u,undocumented
6296,1994,m,bill
6297,1994,u,undocumented
6298,1994,u,undocumented
6299,1995,f,plumage
6300,1995,f,plumage
6301,1995,m,bill
6302,1995,m,bill
6303,1995,m,bill
6304,1995,m,bill
6305,1995,m,bill
6306,1995,m,bill
6307,1995,f,plumage
6308,1995,f,plumage
6309,1995,m,plumage
6310,1995,m,bill
6311,1995,m,bill
6312,1995,f,plumage
6313,1995,m,bill
6314,1995,f,plumage
6315,1995,m,bill
6316,1995,f,plumage
6317,1995,m,plumage
6319,1995,f,bill
6320,1995,f,plumage
6321,1995,m,plumage
6322,1995,m,bill
6323,1995,m,plumage
6324,1995,f,plumage
6325,1995,m,bill
6326,1995,f,plumage
6327,1995,f,bill
6328,1995,f,plumage
6329,1995,f,bill
6330,1995,f,bill
6334,1995,m,bill
6335,1995,f,plumage
6336,1995,f,bill
6338,1995,u,undocumented
6350,1995,m,plumage
6351,1995,f,bill
6352,1995,f,bill
6364,1995,u,undocumented
6365,1995,u,undocumented
6366,1995,u,undocumented
6372,1995,m,plumage
6373,1995,m,plumage
6397,1995,u,undocumented
6398,1995,u,undocumented
6403,1995,u,undocumented
6404,1995,u,undocumented
6405,1995,u,undocumented
6406,1995,u,undocumented
6407,1995,u,undocumented
6409,1995,u,undocumented
6410,1995,u,undocumented
6411,1995,u,undocumented
6412,1995,u,undocumented
6413,1995,u,undocumented
6414,1995,u,undocumented
6415,1995,u,undocumented
6416,1995,u,undocumented
6417,1995,u,undocumented
6418,1995,u,undocumented
6419,1995,u,undocumented
6420,1995,u,undocumented
6421,1995,u,undocumented
6422,1995,u,undocumented
6423,1995,u,undocumented
6424,1995,u,undocumented
6425,1995,u,undocumented
6426,1995,u,undocumented
6427,1995,u,undocumented
6428,1995,u,undocumented
6429,1995,u,undocumented
6430,1995,u,undocumented
6432,1995,u,undocumented
6433,1995,u,undocumented
6434,1995,u,undocumented
6435,1995,u,undocumented
6436,1995,u,undocumented
6437,1995,u,undocumented
6438,1995,u,undocumented
6439,1995,u,undocumented
6440,1995,u,undocumented
6441,1995,u,undocumented
6442,1995,u,undocumented
6443,1995,u,undocumented
6444,1995,u,undocumented
6445,1995,u,undocumented
6449,1995,u,undocumented
6450,1995,u,undocumented
6453,1995,u,undocumented
6454,1995,u,undocumented
6455,1995,u,undocumented
6456,1995,u,undocumented
6458,1995,u,undocumented
6459,1995,u,undocumented
6460,1995,u,undocumented
6461,1995,u,undocumented
6462,1995,u,undocumented
6463,1995,u,undocumented
6465,1995,u,undocumented
6466,1995,u,undocumented
6467,1995,u,undocumented
6468,1995,u,undocumented
6469,1995,u,undocumented
6472,1995,u,undocumented
6473,1995,u,undocumented
6474,1995,u,undocumented
6475,1995,u,undocumented
6479,1995,u,undocumented
6480,1995,u,undocumented
6483,1995,u,undocumented
6484,1995,u,undocumented
6485,1995,u,undocumented
6486,1995,u,undocumented
6487,1995,u,undocumented
6488,1995,u,undocumented
6489,1995,u,undocumented
6490,1995,u,undocumented
6491,1995,u,undocumented
6492,1995,u,undocumented
6493,1995,u,undocumented
6494,1995,u,undocumented
6495,1995,u,undocumented
6496,1995,u,undocumented
6497,1995,u,undocumented
6498,1995,u,undocumented
6499,1995,u,undocumented
6501,1995,u,undocumented
6502,1995,u,undocumented
6506,1995,u,undocumented
6507,1995,u,undocumented
6508,1995,u,undocumented
6509,1995,u,undocumented
6510,1995,u,undocumented
6511,1995,m,bill
6512,1995,f,bill
6513,1995,f,bill
6514,1995,m,bill
6515,1995,m,bill
6516,1995,m,bill
6517,1995,m,bill
6518,1995,m,bill
6519,1995,f,bill
6520,1995,f,bill
6521,1995,u,undocumented
6522,1995,u,undocumented
6523,1995,u,undocumented
6524,1995,u,undocumented
6525,1995,u,undocumented
6526,1995,u,undocumented
6527,1995,u,undocumented
6528,1995,u,undocumented
6529,1995,u,undocumented
6530,1995,u,undocumented
6531,1995,u,undocumented
6532,1995,u,undocumented
6536,1995,u,undocumented
6537,1995,u,undocumented
6538,1995,u,undocumented
6539,1995,u,undocumented
6540,1995,u,undocumented
6541,1995,u,undocumented
6542,1995,u,undocumented
6546,1995,u,undocumented
6549,1995,u,undocumented
6551,1995,u,undocumented
6552,1995,u,undocumented
6553,1995,u,undocumented
6555,1995,u,undocumented
6556,1995,u,undocumented
6557,1995,u,undocumented
6558,1995,u,undocumented
6559,1995,u,undocumented
6560,1995,u,undocumented
6562,1995,u,undocumented
6563,1995,u,undocumented
6564,1995,u,undocumented
6565,1995,u,undocumented
6566,1995,u,undocumented
6567,1995,u,undocumented
6568,1995,u,undocumented
6569,1995,u,undocumented
6570,1995,u,undocumented
6571,1995,u,undocumented
6572,1995,u,undocumented
6573,1995,u,undocumented
6577,1995,u,undocumented
6578,1995,u,undocumented
6579,1995,u,undocumented
6580,1995,u,undocumented
6581,1995,u,undocumented
6582,1995,u,undocumented
6583,1995,u,undocumented
6584,1995,u,undocumented
6585,1995,u,undocumented
6586,1995,u,undocumented
6587,1995,u,undocumented
6588,1995,u,undocumented
6589,1995,u,undocumented
6590,1995,u,undocumented
6591,1995,u,undocumented
6592,1995,u,undocumented
6593,1995,u,undocumented
6594,1995,u,undocumented
6595,1995,u,undocumented
6596,1995,u,undocumented
6597,1995,u,undocumented
6598,1995,u,undocumented
6599,1995,u,undocumented
6600,1995,u,undocumented
6601,1995,u,undocumented
6602,1995,u,undocumented
6603,1995,u,undocumented
6604,1995,u,undocumented
6605,1995,u,undocumented
6607,1995,u,undocumented
6608,1995,u,undocumented
6609,1995,u,undocumented
6610,1995,u,undocumented
6611,1995,u,undocumented
6612,1995,u,undocumented
6613,1995,u,undocumented
6614,1995,u,undocumented
6615,1995,u,undocumented
6616,1995,f,bill
6617,1995,f,bill
6618,1995,f,bill
6619,1995,f,bill
6620,1995,f,bill
6621,1995,u,undocumented
6622,1995,u,undocumented
6623,1995,u,undocumented
6625,1995,u,undocumented
6626,1995,u,undocumented
6627,1995,u,undocumented
6628,1995,u,undocumented
6629,1995,u,undocumented
6630,1995,u,undocumented
6631,1995,u,undocumented
6632,1995,u,undocumented
6634,1995,u,undocumented
6635,1995,u,undocumented
6636,1995,u,undocumented
6637,1995,u,undocumented
6638,1995,u,undocumented
6639,1995,u,undocumented
6640,1995,u,undocumented
6641,1995,u,undocumented
6642,1995,u,undocumented
6643,1995,u,undocumented
6644,1995,u,undocumented
6645,1995,u,undocumented
6646,1995,u,undocumented
6647,1995,u,undocumented
6648,1995,u,undocumented
6649,1995,u,undocumented
6650,1995,u,undocumented
6652,1995,m,bill
6653,1995,f,bill
6654,1995,m,bill
6655,1995,u,undocumented
6656,1995,u,undocumented
6657,1995,u,undocumented
6658,1995,u,undocumented
6659,1995,u,undocumented
6660,1995,u,undocumented
6661,1995,u,undocumented
6662,1995,u,undocumented
6663,1995,u,undocumented
6664,1995,m,bill
6665,1995,u,undocumented
6666,1995,u,undocumented
6667,1995,u,undocumented
6668,1995,u,undocumented
6669,1995,u,undocumented
6670,1995,u,undocumented
6671,1995,u,undocumented
6672,1995,u,undocumented
6673,1995,u,undocumented
6674,1995,u,undocumented
6675,1995,u,undocumented
6676,1995,u,undocumented
6677,1995,u,undocumented
6678,1995,u,undocumented
6679,1995,u,undocumented
6680,1995,u,undocumented
6681,1995,u,undocumented
6682,1995,u,undocumented
6683,1995,u,undocumented
6684,1995,u,undocumented
6685,1995,f,bill
6686,1995,u,undocumented
6687,1995,u,undocumented
6688,1995,u,undocumented
6689,1995,u,undocumented
6690,1995,u,undocumented
6691,1995,u,undocumented
6692,1995,u,undocumented
6693,1995,f,bill
6694,1995,u,undocumented
6695,1995,u,undocumented
6696,1995,u,undocumented
6697,1995,u,undocumented
6698,1995,u,undocumented
